═════════════════════════════════════════════════════════════════════════════
MCP-RELAY AUDIT LOG - CISCO DEVICE DISCOVERY & AUTHENTICATION
═════════════════════════════════════════════════════════════════════════════
Project: Generativ AI i Nätverksmiljö - Automatisering av Cisco-konfiguration
Students: Marcus Winsnes, Tobias Nordström
University: Högskolan Väst (University West)
Program: NIT (Nätverksteknik och IT-säkerhet)
═════════════════════════════════════════════════════════════════════════════

[2026-03-03 19:55:18] SW1 | configure terminal
[2026-03-03 19:55:18] SW1 | vlan 10
[2026-03-03 19:55:18] SW1 | name PC1-VLAN
[2026-03-03 19:55:19] SW1 | vlan 20
[2026-03-03 19:55:19] SW1 | name PC2-VLAN
[2026-03-03 19:55:19] SW1 | int Gi1/0/2 - switchport mode access
[2026-03-03 19:55:19] SW1 | int Gi1/0/2 - switchport access vlan 10
[2026-03-03 19:55:19] SW1 | int Gi1/0/3 - switchport mode access
[2026-03-03 19:55:19] SW1 | int Gi1/0/3 - switchport access vlan 20
[2026-03-03 19:55:19] SW1 | int Gi1/0/1 - switchport trunk encapsulation dot1q
[2026-03-03 19:55:19] SW1 | int Gi1/0/1 - switchport mode trunk
[2026-03-03 19:55:19] SW1 | int Gi1/0/1 - switchport trunk allowed vlan 10,20
[2026-03-03 19:55:19] SW1 | end
[2026-03-03 19:56:09] R1 | configure terminal
[2026-03-03 19:56:09] R1 | interface GigabitEthernet0/0/0
[2026-03-03 19:56:09] R1 | no shutdown
[2026-03-03 19:56:09] R1 | interface GigabitEthernet0/0/0.10
[2026-03-03 19:56:09] R1 | encapsulation dot1Q 10
[2026-03-03 19:56:09] R1 | ip address 192.168.0.1 255.255.255.0
[2026-03-03 19:56:09] R1 | no shutdown
[2026-03-03 19:56:09] R1 | interface GigabitEthernet0/0/0.20
[2026-03-03 19:56:09] R1 | encapsulation dot1Q 20
[2026-03-03 19:56:09] R1 | ip address 192.168.1.1 255.255.255.0
[2026-03-03 19:56:09] R1 | no shutdown
[2026-03-03 19:56:09] R1 | end
[2026-03-03 19:57:10] R1 | write memory
[2026-03-03 19:57:10] SW1 | write memory
